disbiome_disease	meddra_id	mondo_id	mondo_label	mesh_ids	match_method	confidence	status	meddra_corroborates	ambiguous	n_experiments
Transient Ischemic Attack	10044390	MONDO:0005264	transient ischemic attack	D002546	mondo_label	1.0	confirmed			20
Clostridium difficile associated disease	10009653				UNMAPPED	0.0	unmapped			20
Pancreatic head cancer	10033605	MONDO:0009831	malignant pancreatic neoplasm		token_subset_broader	0.75	review			20
Pressure ulcers	10077779	MONDO:0043839	ulcer disease	D014456	token_subset_broader	0.75	review			20
Human end-stage renal disease	10038435	MONDO:0004375	end stage renal failure		token_subset_broader	0.75	review			20
Azoospermia	10003883	MONDO:0100459	azoospermia	D053713	mondo_label	1.0	confirmed			19
Juvenile idiopathic arthritis	10059176	MONDO:0011429	juvenile idiopathic arthritis	D001171	mondo_label	1.0	confirmed			18
Hashimoto's thyroiditis	10019167	MONDO:0007699	Hashimoto thyroiditis	D050031	mondo_exact_synonym	0.95	confirmed			18
Frailty	10063028				UNMAPPED	0.0	unmapped			18
Acute lymphoblastic leukemia	10000846	MONDO:0004967	acute lymphoblastic leukemia		mondo_label	1.0	confirmed			18
Allergy	10001738	MONDO:0005271	allergic disease	D006967	mondo_exact_synonym	0.95	confirmed			17
Barrett's oesophagus	10004137	MONDO:0013662	Barrett esophagus	D001471	mondo_exact_synonym	0.95	confirmed			17
Spondyloarthritis	10071400	MONDO:0005095	spondyloarthropathy		mondo_exact_synonym	0.95	confirmed			17
Human papilloma virus infection	10066416	MONDO:0005161	human papilloma virus infection	D030361	mondo_label	1.0	confirmed			17
Drug-resistant Epilepsy	10015037	MONDO:0005027	epilepsy	D004827	token_subset_broader	0.75	review			17
Alcoholic cirrhosis	10001617	MONDO:0006644	alcoholic liver cirrhosis	D008104	mondo_exact_synonym	0.95	confirmed			17
Glycogen storage disease	10061990	MONDO:0002412	disorder of glycogen metabolism	D006008	mondo_exact_synonym	0.95	confirmed	yes		17
Seborrheic dermatitis	10039793	MONDO:0006608	seborrheic dermatitis	D012628	mondo_label	1.0	confirmed			17
Colon polyps	10010003	MONDO:0021400	polyp of colon	D003111	fuzzy_suggestion	0.6	review			17
E-smoking	10077387				UNMAPPED	0.0	unmapped			17
Chronic fatigue syndrome	10008874	MONDO:0005404	myalgic encephalomeyelitis/chronic fatigue syndrome	D015673	mondo_exact_synonym	0.95	confirmed			16
Necrotizing enterocolitis	10055667	MONDO:0005313	necrotizing enterocolitis	D020345	mondo_label	1.0	confirmed			16
Autoimmune hepatitis	10003827	MONDO:0016264	autoimmune hepatitis	D019693	mondo_label	1.0	confirmed	yes		16
Head/Neck cancer	10060121	MONDO:0010150	head and neck squamous cell carcinoma	C535575	meddra_xref	0.8	confirmed	yes		16
Chagas' disease	10008384	MONDO:0001444	Chagas disease	D014355	mondo_label	1.0	confirmed			16
Primary biliary cirrhosis	10004661	MONDO:0005388	primary biliary cholangitis	D008105	mondo_exact_synonym	0.95	confirmed	yes		16
Trichomonas vaginalis infection	10045183	MONDO:0005993	Trichomonas vaginitis urogenital infection	D014247	token_subset_narrower	0.75	review			16
Clonorchis sinensis infection	10009345	MONDO:0005550	infectious disease	D003141	token_subset_broader	0.75	review			16
Anovulation	10002658	MONDO:0002775	anovulation	D000858	mondo_label	1.0	confirmed			16
Silicosis	10040678	MONDO:0005960	silicosis	D012829	mondo_label	1.0	confirmed			16
Invasive pneumococcal disease	10061353	MONDO:0010386	immunodeficiency 33	C536289|C567070	token_subset_narrower	0.75	review			16
Diaper dermatitis	10012444	MONDO:0002406	dermatitis	D003872	token_subset_broader	0.75	review			16
Bleeding gum	10018771				UNMAPPED	0.0	unmapped			16
Migraine	10027599	MONDO:0005277	migraine disorder	D008881	mondo_exact_synonym	0.95	confirmed			16
Coronary Heart Disease	10011078	MONDO:0005010	coronary artery disorder	D003324	mondo_exact_synonym	0.95	confirmed			15
Kawasaki disease	10023320	MONDO:0012727	Kawasaki disease	D009080	mondo_label	1.0	confirmed	yes		15
Intestinal metaplasia	10068411	MONDO:0100190	gastric intestinal metaplasia		mondo_exact_synonym	0.95	confirmed			15
Ischemic stroke	10061256	MONDO:1060198	ischemic stroke		mondo_label	1.0	confirmed			15
Idiopathic central precocious puberty	10058084	MONDO:0015713	idiopathic central precocious puberty		mondo_label	1.0	confirmed			15
Atopic eczema	10014184	MONDO:0004980	atopic eczema	D003876	mondo_label	1.0	confirmed			14
Vitiligo	10047642	MONDO:0008661	vitiligo	D014820	mondo_label	1.0	confirmed			14
Postmenopausal	10051775	MONDO:0005298	osteoporosis	D010024	token_subset_narrower	0.75	review			14
Atrophic gastritis	10003685	MONDO:0006665	chronic atrophic gastritis	D005757	mondo_exact_synonym	0.95	confirmed	yes		14
Oral leukoplakia	10062037	MONDO:0004844	oral mucosa leukoplakia	D007972	mondo_exact_synonym	0.95	confirmed			14
Urgency urinary incontinence	10046543				UNMAPPED	0.0	unmapped			14
Severe fever with thrombocytopenia syndrome	10043554				UNMAPPED	0.0	unmapped			14
Primary liver cancer	10036706	MONDO:0002691	liver cancer		mondo_exact_synonym	0.95	confirmed			14
Posttraumatic stress syndrome	10036316	MONDO:0002254	syndromic disease	D013577	token_subset_broader	0.75	review			14
Tuberculosis	10044755	MONDO:0018076	tuberculosis	D014376	mondo_label	1.0	confirmed	yes		13
Pneumonia	10035735	MONDO:0005249	pneumonia	D011014	mondo_label	1.0	confirmed			13
Disease-free		MONDO:0019366	free sialic acid storage disease	C538523	token_subset_narrower	0.75	review			13
Idiopathic Pulmonary Fibrosis	10021240	MONDO:0800504	idiopathic pulmonary fibrosis	D054990	mondo_label	1.0	confirmed			13
Idiopathic REM Sleep Behavior Disorder	10037841	MONDO:0005937	REM sleep behavior disorder	D020187	token_subset_broader	0.75	review			13
Osteoarthritis	10031161	MONDO:0005178	osteoarthritis	D010003	mondo_label	1.0	confirmed			13
Graves' disease	10018706	MONDO:0005364	Graves disease	D006111	mondo_label	1.0	confirmed			13
Cardiac valve calcification		MONDO:0002123	calcinosis	D002114	token_subset_broader	0.75	review			13
Biliary atresia	10004653	MONDO:0008867	biliary atresia	D001656	mondo_label	1.0	confirmed			13
Alopecia universalis	10001767	MONDO:0800198	alopecia universalis		mondo_label	1.0	confirmed			13
Idiopathic focal epilepsy	10015037	MONDO:0005384	focal epilepsy	D004828	token_subset_broader	0.75	review			13
Dry eye syndrome	10013774	MONDO:0006733	dry eye syndrome	D007638|D015352	mondo_label	1.0	confirmed			13
H1N1 Influenza	10069767	MONDO:0005460	swine influenza		mondo_exact_synonym	0.95	confirmed			13
T2D with hypertension	10020772	MONDO:0005148	type 2 diabetes mellitus	D003924	token_subset_broader	0.75	review			12
Graves' orbitopathy	10057889	MONDO:0001509	endocrine exophthalmos		mondo_exact_synonym	0.95	confirmed			12
Alopecia areata	10001761	MONDO:0005340	alopecia areata	D000506	mondo_label	1.0	confirmed			12
Metabolic syndrome	10052066	MONDO:0000816	abdominal obesity-metabolic syndrome	C535554	mondo_exact_synonym	0.95	confirmed			12
Hepatitis B associated liver failure	10019731				UNMAPPED	0.0	unmapped			12
Collagenous colitis	10009887	MONDO:0000703	collagenous colitis	D046729	mondo_label	1.0	confirmed			12
Periodontal abscess		MONDO:0005227	abscess	D000038	token_subset_broader	0.75	review			12
Chronic pancreatitis	10033649	MONDO:0005003	chronic pancreatitis	D050500	mondo_label	1.0	confirmed			12
Hidradenitis suppurativa	10020040	MONDO:0006559	hidradenitis suppurativa	D017497	mondo_label	1.0	confirmed			12
Acute fatty liver	10000746	MONDO:0016573	acute fatty liver of pregnancy	C537957	meddra_xref	0.8	confirmed	yes		12
Excessive vomiting	10047700				UNMAPPED	0.0	unmapped			12
Rectal Carcinoma	10010038	MONDO:0044937	rectal carcinoma		mondo_label	1.0	confirmed			11
Anorexia Nervosa	10002649	MONDO:0005351	anorexia nervosa	D000856	mondo_label	1.0	confirmed			11
Henoch-Schönlein Purpura	10019617				UNMAPPED	0.0	unmapped			11
Granulomatosis with polyangiitis	10072579	MONDO:0012105	granulomatosis with polyangiitis	D014890	mondo_label	1.0	confirmed			11
Arsenic exposure	10059556				UNMAPPED	0.0	unmapped			11
Adolescent idiopathic scoliosis	10039722	MONDO:0005488	adolescent idiopathic scoliosis		mondo_label	1.0	confirmed			11
Huntington's Disease	10070668	MONDO:0007739	Huntington disease	D006816	mondo_exact_synonym	0.95	confirmed	yes		11
Invasive colorectal cancer	10052358	MONDO:0005575	colorectal cancer		token_subset_broader	0.75	review			11
Neisseria gonorrhoeae infection	10062212	MONDO:0004277	gonorrhea	D006069	mondo_exact_synonym	0.95	confirmed			11
Refractory celiac disease	10009839	MONDO:0018353	refractory celiac disease		mondo_label	1.0	confirmed			10
Cutaneous burn	10053615	MONDO:0043519	burn	D002056	token_subset_broader	0.75	review			10
Endometrial cancer	10014733	MONDO:0011962	endometrial cancer		mondo_label	1.0	confirmed			10
Eosinophilic esophagitis	10064212	MONDO:0005361	eosinophilic esophagitis	D057765	mondo_label	1.0	confirmed	yes		10
Cirrhosis with pneumonia	10019641	MONDO:0005155	cirrhosis of liver	D008103	token_subset_broader	0.75	review			10
H7N9	10073987				UNMAPPED	0.0	unmapped			10
Iron-deficiency anaemia	10022972	MONDO:0001356	iron deficiency anemia	D018798	mondo_label	1.0	confirmed			10
Spleen deficiency syndrome	10041633	MONDO:0002254	syndromic disease	D013577	token_subset_broader	0.75	review			10
Cystic fibrosis exacerbation	10068288	MONDO:0009061	cystic fibrosis	D003550	token_subset_broader	0.75	review			10
Inactive Crohn's Disease	10011401	MONDO:0005011	Crohn disease	C536215|D003424	token_subset_broader	0.75	review			9
Rett Syndrome	10077709	MONDO:0010726	Rett syndrome	D015518	mondo_label	1.0	confirmed			9
Chronic prostatitis / Chronic pelvic pain syndrome	10034263	MONDO:0024317	chronic pain syndrome		token_subset_broader	0.75	review			9
Liver fibrosis	10019668	MONDO:0100430	fibrotic liver disease		token_subset_narrower	0.75	review			9
Cervicitis	10008323	MONDO:0002345	cervicitis	D002575	mondo_label	1.0	confirmed			9
Idiopathic nephrotic syndrome	10029164	MONDO:0018170	idiopathic nephrotic syndrome		mondo_label	1.0	confirmed			9
Hirschsprung's disease	10020109	MONDO:0018309	Hirschsprung disease	D006627	mondo_exact_synonym	0.95	confirmed			9
Hand, foot and mouth disease	10019113	MONDO:0005779	hand, foot and mouth disease	D006232	mondo_label	1.0	confirmed			9
Common Variable Immunodeficieny	10021449	MONDO:0015517	common variable immunodeficiency	D017074	meddra_xref	0.8	confirmed	yes		9
Osteoporosis	10031282	MONDO:0005298	osteoporosis	D010024	mondo_label	1.0	confirmed			9
Vogt-Koyagani-Harada disease	10082001				UNMAPPED	0.0	unmapped			9
Extrinsic black stain	10043179				UNMAPPED	0.0	unmapped			9
Functional dyspepsia	10064536	MONDO:0002268	dyspepsia	D004415	token_subset_broader	0.75	review			8
Idiopathic infertility	10021926	MONDO:0700005	idiopathic		token_subset_broader	0.75	review			8
