disbiome_disease	meddra_id	mondo_id	mondo_label	mesh_ids	match_method	confidence	status	meddra_corroborates	ambiguous	n_experiments
Hirschsprung-associated enterocolitis	10014893	MONDO:0009172	enterocolitis	D004760	token_subset_broader	0.75	review			4
Hyperlipidemia	10062060	MONDO:0021187	hyperlipidemia	D006949	mondo_label	1.0	confirmed			4
Seminal hyperviscosity	10039940				UNMAPPED	0.0	unmapped			4
Oligoasthenoteratozoospermia	10003883	MONDO:0850098	oligoasthenoteratozoospermia		mondo_label	1.0	confirmed			4
Stomach cancer	10042080	MONDO:0001056	gastric cancer		mondo_exact_synonym	0.95	confirmed			4
Palmoplantar pustulosis	10050185	MONDO:0015597	palmoplantar pustulosis		mondo_label	1.0	confirmed	yes		4
Diarrhea	10012735	MONDO:0001673	diarrheal disease	D003967	mondo_exact_synonym	0.95	confirmed			4
Familial Mediterranean fever	10016207	MONDO:0018088	familial Mediterranean fever	D010505	mondo_label	1.0	confirmed	yes		4
Chronic liver disease	10077305	MONDO:0014082	cryptosporidiosis-chronic cholangitis-liver disease syndrome		token_subset_narrower	0.75	review			4
Chronic mucocutaneous candidiasis	10028080	MONDO:0015279	chronic mucocutaneous candidiasis	D002178	mondo_label	1.0	confirmed			4
Hyper IgE syndrome	10051040	MONDO:0018037	hyper-IgE syndrome		mondo_label	1.0	confirmed			4
Severe congenital neutropenia	10029354	MONDO:0018542	severe congenital neutropenia		mondo_label	1.0	confirmed			4
Antrochoanal polyps	10028756				UNMAPPED	0.0	unmapped			4
Traumatic Brain Injury	10060690	MONDO:0858950	traumatic brain injury		mondo_label	1.0	confirmed			4
Recurrent aphthous stomatitis	10002959	MONDO:0004845	aphthous stomatitis		token_subset_broader	0.75	review			4
Atopy	10003645	MONDO:1012017	atopy, dog		token_subset_narrower	0.75	review			3
Conjunctival scarring	10010733				UNMAPPED	0.0	unmapped			3
Exacerbations of idiopathic pulmonary fibrosis	10067761	MONDO:0800504	idiopathic pulmonary fibrosis	D054990	token_subset_broader	0.75	review			3
Viral Diarrhea	10051511	MONDO:0001673	diarrheal disease	D003967	token_subset_broader	0.75	review			3
Reflux esophagitis	10017885	MONDO:0001409	esophagitis	D004941	token_subset_broader	0.75	review			3
Chronic Rhinosinusitis with asthma	10071399	MONDO:0850282	chronic asthma		token_subset_broader	0.75	review			3
